"id","sleepday","sedentaryminutes","lightlyactiveminutes","fairlyactiveminutes","veryactiveminutes","totalminutesasleep","totaltimeinbed"
"1503960366","2016-04-12 00:00:00",728,328,13,25,327,346
"1503960366","2016-04-13 00:00:00",776,217,19,21,384,407
"1503960366","2016-04-15 00:00:00",726,209,34,29,412,442
"1503960366","2016-04-16 00:00:00",773,221,10,36,340,367
"1503960366","2016-04-17 00:00:00",539,164,20,38,700,712
"1503960366","2016-04-19 00:00:00",775,264,31,50,304,320
"1503960366","2016-04-20 00:00:00",818,205,12,28,360,377
"1503960366","2016-04-21 00:00:00",838,211,8,19,325,364
"1503960366","2016-04-23 00:00:00",732,262,21,41,361,384
"1503960366","2016-04-24 00:00:00",709,238,5,39,430,449
"1503960366","2016-04-25 00:00:00",814,216,14,73,277,323
"1503960366","2016-04-26 00:00:00",833,279,23,31,245,274
"1503960366","2016-04-28 00:00:00",782,189,28,48,366,393
"1503960366","2016-04-29 00:00:00",815,243,12,16,341,354
"1503960366","2016-04-30 00:00:00",712,217,34,52,404,425
"1503960366","2016-05-01 00:00:00",730,246,35,33,369,396
"1503960366","2016-05-02 00:00:00",798,277,15,41,277,309
"1503960366","2016-05-03 00:00:00",816,254,24,50,273,296
"1503960366","2016-05-05 00:00:00",857,250,24,45,247,264
"1503960366","2016-05-06 00:00:00",754,289,6,24,334,367
"1503960366","2016-05-07 00:00:00",833,175,46,37,331,349
"1503960366","2016-05-08 00:00:00",574,203,8,44,594,611
"1503960366","2016-05-09 00:00:00",835,206,11,46,338,342
"1503960366","2016-05-10 00:00:00",746,214,31,46,383,403
"1503960366","2016-05-11 00:00:00",669,251,23,36,285,306
"1644430081","2016-04-29 00:00:00",1193,120,0,0,119,127
"1644430081","2016-04-30 00:00:00",816,402,71,9,124,142
"1644430081","2016-05-02 00:00:00",682,148,7,1,796,961
"1644430081","2016-05-08 00:00:00",991,295,0,0,137,154
"1844505072","2016-04-15 00:00:00",527,176,0,0,644,961
"1844505072","2016-04-30 00:00:00",218,184,0,0,722,961
"1844505072","2016-05-01 00:00:00",585,75,7,0,590,961
"1927972279","2016-04-12 00:00:00",734,55,0,0,750,775
"1927972279","2016-04-13 00:00:00",986,32,0,0,398,422
"1927972279","2016-04-15 00:00:00",941,51,0,0,475,499
"1927972279","2016-04-26 00:00:00",1058,192,0,0,296,315
"1927972279","2016-04-28 00:00:00",1167,95,0,0,166,178
"2026352035","2016-04-12 00:00:00",706,181,8,3,503,546
"2026352035","2016-04-13 00:00:00",663,238,0,0,531,565
"2026352035","2016-04-14 00:00:00",653,197,0,0,545,568
"2026352035","2016-04-15 00:00:00",687,188,0,0,523,573
"2026352035","2016-04-16 00:00:00",728,150,0,0,524,567
"2026352035","2016-04-17 00:00:00",1053,60,0,0,437,498
"2026352035","2016-04-19 00:00:00",785,141,0,0,498,540
"2026352035","2016-04-20 00:00:00",623,327,0,0,461,510
"2026352035","2016-04-21 00:00:00",749,153,0,0,477,514
"2026352035","2016-04-22 00:00:00",712,162,0,0,520,545
"2026352035","2016-04-23 00:00:00",458,432,0,0,522,554
"2026352035","2016-04-24 00:00:00",704,164,0,0,555,591
"2026352035","2016-04-25 00:00:00",821,260,0,0,506,531
"2026352035","2016-04-27 00:00:00",586,286,0,0,508,545
"2026352035","2016-04-28 00:00:00",626,331,0,0,513,545
"2026352035","2016-04-29 00:00:00",492,352,0,0,490,510
"2026352035","2016-04-30 00:00:00",594,233,0,0,573,607
"2026352035","2016-05-01 00:00:00",716,191,0,0,527,546
"2026352035","2016-05-02 00:00:00",716,355,0,0,511,543
"2026352035","2016-05-04 00:00:00",530,345,0,0,538,560
"2026352035","2016-05-05 00:00:00",479,475,0,0,468,485
"2026352035","2016-05-06 00:00:00",511,383,0,0,524,548
"2026352035","2016-05-07 00:00:00",665,229,0,0,511,521
"2026352035","2016-05-08 00:00:00",610,258,0,0,541,568
"2026352035","2016-05-09 00:00:00",543,401,0,0,531,556
"2026352035","2016-05-10 00:00:00",1002,17,0,0,357,380
"2026352035","2016-05-11 00:00:00",569,330,0,0,523,553
"2026352035","2016-05-12 00:00:00",330,343,0,0,456,485
"2320127002","2016-04-23 00:00:00",1129,242,0,0,61,69
"2347167796","2016-04-13 00:00:00",676,195,32,19,467,531
"2347167796","2016-04-14 00:00:00",705,206,48,1,445,489
"2347167796","2016-04-15 00:00:00",720,284,24,1,452,504
"2347167796","2016-04-17 00:00:00",508,249,7,1,556,602
"2347167796","2016-04-18 00:00:00",678,206,16,11,500,557
"2347167796","2016-04-19 00:00:00",648,382,7,0,465,514
"2347167796","2016-04-21 00:00:00",761,208,26,23,460,484
"2347167796","2016-04-22 00:00:00",781,206,27,9,405,461
"2347167796","2016-04-23 00:00:00",591,360,35,32,374,386
"2347167796","2016-04-24 00:00:00",584,360,0,0,442,459
"2347167796","2016-04-25 00:00:00",653,277,11,15,433,471
"2347167796","2016-04-26 00:00:00",732,227,0,0,436,490
"2347167796","2016-04-27 00:00:00",623,295,9,26,448,499
"2347167796","2016-04-28 00:00:00",764,229,0,0,408,450
"2347167796","2016-04-29 00:00:00",2,4,0,0,411,473
"3977333714","2016-04-12 00:00:00",777,131,19,44,274,469
"3977333714","2016-04-13 00:00:00",754,153,46,31,295,456
"3977333714","2016-04-14 00:00:00",801,214,23,5,291,397
"3977333714","2016-04-15 00:00:00",644,183,42,15,424,556
"3977333714","2016-04-16 00:00:00",663,153,83,31,283,510
"3977333714","2016-04-17 00:00:00",600,205,58,11,381,566
"3977333714","2016-04-18 00:00:00",605,214,95,4,412,522
"3977333714","2016-04-19 00:00:00",738,221,67,19,219,395
"3977333714","2016-04-20 00:00:00",845,164,98,2,152,305
"3977333714","2016-04-21 00:00:00",712,242,0,0,332,512
"3977333714","2016-04-22 00:00:00",731,188,12,33,355,476
"3977333714","2016-04-23 00:00:00",724,252,92,0,235,372
"3977333714","2016-04-24 00:00:00",660,129,95,30,310,526
